Setting logging level to DEBUG
2018-11-03 14:08:51.461+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='Geth/v0.0.6-Ether1_MN_SN/linux-amd64/go1.9.2', capabilities=[eth/63, eth/62], port=0, nodeId=0x580939823f8388a546a0b27de37e8e850a8013dd56c370bd8e299800bc7d8497565ef3ac139d0c995be0df013df9468f3c012f864393532575b62feefaef2524}
2018-11-03 14:08:51.465+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2018-11-03 14:08:51.471+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Sending status message to 0x580939823f8388a546....
2018-11-03 14:08:51.474+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connection established to peer: 0x580939823f8388a546a0b27de37e8e850a8013dd56c370bd8e299800bc7d8497565ef3ac139d0c995be0df013df9468f3c012f864393532575b62feefaef2524
2018-11-03 14:08:51.474+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connections: 0 pending, 2 active connections.
2018-11-03 14:08:51.489+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Prepared ECIES handshake with node 0xac6b1096ca56b9f6d004b779ae3728bf... under INITIATOR role
2018-11-03 14:08:51.529+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | First ECIES handshake message under INITIATOR role: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.InitiatorHandshakeMessageV4@1d67a872
2018-11-03 14:08:51.570+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Disconnecting from peer with mismatched network id: 1313114
2018-11-03 14:08:51.571+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyPeerConnection | Disconnecting (SUBPROTOCOL_TRIGGERED) from PeerInfo{version=5, clientId='Geth/v0.0.6-Ether1_MN_SN/linux-amd64/go1.9.2', capabilities=[eth/63, eth/62], port=0, nodeId=0x580939823f8388a546a0b27de37e8e850a8013dd56c370bd8e299800bc7d8497565ef3ac139d0c995be0df013df9468f3c012f864393532575b62feefaef2524}
2018-11-03 14:08:51.571+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Disconnecting from peer (SUBPROTOCOL_TRIGGERED), 1 peers left: EthPeers{connections=0xefad3d812040e121ac...}
2018-11-03 14:08:51.583+01:00 | nioEventLoopGroup-3-1 | DEBUG | ApiHandler | Received Wire DISCONNECT (SUBPROTOCOL_TRIGGERED) from peer: Geth/v0.0.6-Ether1_MN_SN/linux-amd64/go1.9.2
2018-11-03 14:08:51.597+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:51.613+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:51.617+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:51.641+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Prepared ECIES handshake with node 0x7421e97c2ebe7339451788cbc5e0c6f9... under INITIATOR role
2018-11-03 14:08:51.674+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | First ECIES handshake message under INITIATOR role: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.InitiatorHandshakeMessageV4@960f073
2018-11-03 14:08:51.675+01:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /35.196.119.189:51000.
